Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0115QQ1,2013.03,230,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2014.03,238,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2015.03,248,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2016.03,263,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2017.03,269,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2018.03,283,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2019.03,293,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2020.03,320,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2021.03,353,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115QQ1,2022.03,0,PROVISIONAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Health Care and Social Assistance,,
RNAA.SG01NAC34B0115ZZ9,2000.03,2355,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2001.03,2746,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2002.03,2966,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2003.03,2882,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2004.03,2994,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2005.03,2972,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2006.03,3163,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
